no,x,y,edge
1,282,945,2 6
2,430,945,1 7 3
3,600,945,2 8 4
4,740,945,3 9 5
5,945,945,4 10
6,282,860,1 7 11
7,430,860,2 6 8 12
8,600,860,3 7 9 13
9,740,860,4 8 10 14
10,945,860,5 9 15
11,282,820,6 12 16
12,430,820,7 11 17
13,600,820,8 14
14,740,820,9 13 15 18
15,945,820,10 14 19
16,282,780,11 17
17,428,780,12 16
18,740,780,14 19 20
19,945,780,15 18 21
20,945,611,18 19
21,1250,370,19 22 25
22,1370,370,21 23 26
23,1500,370,22 24 27
24,1670,370,23 28
25,1250,340,21 26 29
26,1370,340,22 25 27 30
27,1500,340,23 26 31
28,1670,340,24 32
29,1250,290,25 30 33
30,1370,290,26 29 34
31,1500,290,27 32
32,1670,290,28 31
33,1250,250,29 34 35
34,1370,250,30 33 36
35,1250,210,33 36
36,1370,210,34 35
37,1050,500,20 38
38,1175,380,37 29
39,1370,780,22 40 42
40,1500,780,23 39 43
41,1250,820,15 42 45
42,1370,820,39 41 43 46
43,1500,820,40 42 44 47
44,1670,820,43 48
45,1250,860,10 41 46 49
46,1370,860,42 45 47 50
47,1500,860,43 46 48 51
48,1670,860,44 47 52
49,1250,945,45 50
50,1370,945,46 51
51,1500,945,47 50 52
52,1670,945,48 51
